Height: 1500.00 mass: 80.00 drag_Coef: 0.50 cs_Area: 0.40 ts_Size: 0.10 
Time	Height		Velocity
0.00	1500.00		0.00
0.00	1499.90		0.98
0.10	1499.71		1.96
0.20	1499.41		2.94
0.30	1499.02		3.92
0.40	1498.53		4.90
0.50	1497.94		5.88
0.60	1497.26		6.85
0.70	1496.47		7.83
0.80	1495.59		8.80
0.90	1494.62		9.77
1.00	1493.54		10.74
1.10	1492.37		11.70
1.20	1491.11		12.67
1.30	1489.74		13.63
1.40	1488.29		14.58
1.50	1486.73		15.53
1.60	1485.08		16.48
1.70	1483.34		17.43
1.80	1481.50		18.37
1.90	1479.57		19.30
2.00	1477.55		20.24
2.10	1475.43		21.16
2.20	1473.23		22.08
2.30	1470.93		23.00
2.40	1468.53		23.91
2.50	1466.05		24.81
2.60	1463.48		25.71
2.70	1460.82		26.61
2.80	1458.07		27.49
2.90	1455.23		28.37
3.00	1452.31		29.25
3.10	1449.30		30.11
3.20	1446.20		30.97
3.30	1443.02		31.83
3.40	1439.75		32.67
3.50	1436.40		33.51
3.60	1432.97		34.34
3.70	1429.45		35.17
3.80	1425.85		35.98
3.90	1422.17		36.79
4.00	1418.41		37.59
4.10	1414.57		38.38
4.20	1410.66		39.17
4.30	1406.66		39.94
4.40	1402.59		40.71
4.50	1398.44		41.47
4.60	1394.22		42.22
4.70	1389.93		42.96
4.80	1385.56		43.70
4.90	1381.11		44.42
5.00	1376.60		45.14
5.10	1372.02		45.85
5.20	1367.36		46.55
5.30	1362.64		47.24
5.40	1357.85		47.92
5.50	1352.99		48.59
5.60	1348.06		49.25
5.70	1343.07		49.91
5.80	1338.01		50.56
5.90	1332.89		51.19
6.00	1327.71		51.82
6.10	1322.47		52.44
6.20	1317.16		53.05
6.30	1311.80		53.65
6.40	1306.37		54.25
6.50	1300.89		54.83
6.60	1295.35		55.40
6.70	1289.75		55.97
6.80	1284.10		56.53
6.90	1278.39		57.08
7.00	1272.63		57.62
7.10	1266.82		58.15
7.20	1260.95		58.67
7.30	1255.03		59.19
7.40	1249.06		59.69
7.50	1243.04		60.19
7.60	1236.97		60.68
7.70	1230.86		61.16
7.80	1224.69		61.63
7.90	1218.48		62.10
8.00	1212.23		62.55
8.10	1205.93		63.00
8.20	1199.58		63.44
8.30	1193.20		63.87
8.40	1186.77		64.30
8.50	1180.30		64.72
8.60	1173.78		65.12
8.70	1167.23		65.53
8.80	1160.64		65.92
8.90	1154.01		66.31
9.00	1147.34		66.68
9.10	1140.63		67.06
9.20	1133.89		67.42
9.30	1127.11		67.78
9.40	1120.30		68.13
9.50	1113.45		68.47
9.60	1106.57		68.81
9.70	1099.66		69.14
9.80	1092.71		69.46
9.90	1085.74		69.78
10.00	1078.73		70.09
10.10	1071.69		70.39
10.20	1064.62		70.69
10.30	1057.52		70.98
10.40	1050.40		71.26
10.50	1043.24		71.54
10.60	1036.06		71.81
10.70	1028.85		72.08
10.80	1021.62		72.34
10.90	1014.36		72.60
11.00	1007.07		72.85
11.10	999.77		73.09
11.20	992.43		73.33
11.30	985.08		73.56
11.40	977.70		73.79
11.50	970.30		74.01
11.60	962.87		74.23
11.70	955.43		74.44
11.80	947.97		74.65
11.90	940.48		74.85
12.00	932.98		75.05
12.10	925.45		75.24
12.20	917.91		75.43
12.30	910.35		75.61
12.40	902.77		75.79
12.50	895.17		75.97
12.60	887.56		76.14
12.70	879.93		76.30
12.80	872.28		76.47
12.90	864.62		76.62
13.00	856.94		76.78
13.10	849.25		76.93
13.20	841.54		77.07
13.30	833.82		77.22
13.40	826.08		77.35
13.50	818.33		77.49
13.60	810.57		77.62
13.70	802.80		77.75
13.80	795.01		77.87
13.90	787.21		77.99
14.00	779.40		78.11
14.10	771.58		78.23
14.20	763.74		78.34
14.30	755.90		78.44
14.40	748.04		78.55
14.50	740.18		78.65
14.60	732.30		78.75
14.70	724.42		78.85
14.80	716.53		78.94
14.90	708.62		79.03
15.00	700.71		79.12
15.10	692.79		79.20
15.20	684.86		79.29
15.30	676.93		79.36
15.40	668.98		79.44
15.50	661.03		79.52
15.60	653.07		79.59
15.70	645.11		79.66
15.80	637.13		79.73
15.90	629.15		79.79
16.00	621.17		79.86
16.10	613.18		79.92
16.20	605.18		79.98
16.30	597.17		80.03
16.40	589.17		80.09
16.50	581.15		80.14
16.60	573.13		80.19
16.70	565.11		80.24
16.80	557.08		80.29
16.90	549.05		80.33
17.00	541.01		80.38
17.10	532.97		80.42
17.20	524.92		80.46
17.30	516.87		80.50
17.40	508.82		80.53
17.50	500.76		80.57
17.60	492.70		80.60
17.70	484.64		80.63
17.80	476.57		80.67
17.90	468.50		80.69
18.00	460.43		80.72
18.10	452.35		80.75
18.20	444.28		80.77
18.30	436.20		80.80
18.40	428.12		80.82
18.50	420.03		80.84
18.60	411.95		80.86
18.70	403.86		80.88
18.80	395.77		80.90
18.90	387.68		80.91
19.00	379.58		80.93
19.10	371.49		80.94
19.20	363.39		80.95
19.30	355.30		80.97
19.40	347.20		80.98
19.50	339.10		80.99
19.60	331.00		80.99
19.70	322.90		81.00
19.80	314.80		81.01
19.90	306.70		81.01
20.00	298.60		81.02
20.10	290.50		81.02
20.20	282.39		81.03
20.30	274.29		81.03
20.40	266.19		81.03
20.50	258.08		81.03
20.60	249.98		81.03
20.70	241.88		81.03
20.80	233.77		81.03
20.90	225.67		81.03
21.00	217.57		81.02
21.10	209.47		81.02
21.20	201.37		81.02
21.30	193.27		81.01
21.40	185.16		81.00
21.50	177.06		81.00
21.60	168.97		80.99
21.70	160.87		80.98
21.80	152.77		80.98
21.90	144.67		80.97
22.00	136.58		80.96
22.10	128.48		80.95
22.20	120.39		80.94
22.30	112.30		80.93
22.40	104.20		80.92
22.50	96.11		80.90
22.60	88.03		80.89
22.70	79.94		80.88
22.80	71.85		80.86
22.90	63.77		80.85
23.00	55.68		80.84
23.10	47.60		80.82
23.20	39.52		80.81
23.30	31.44		80.79
23.40	23.36		80.78
23.50	15.29		80.76
23.60	7.21		80.74

Theoretical terminal velocity at sea level: 80.03
